Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
	Sharon	Jennifer		C	TX37	2022	1/31/2022	10044409
Hon.	Sherrill	Mikie		P	NJ11	2022	4/6/2022	20020589
	Sigala	Angelina		C	CA13	2022	1/16/2022	10044394
	Snider	Justin Dale		W	MO07	2022	2/28/2022	7829
	Snyder	Gary		C	IN03	2022	1/20/2022	10044416
	Sodrel	Mike		C	IN09	2022	4/4/2022	8218626
Hon.	Spartz	Victoria		P	IN05	2022	2/8/2022	20020413
Hon.	Spartz	Victoria		P	IN05	2022	2/8/2022	20020414
Hon.	Spartz	Victoria		P	IN05	2022	2/8/2022	20020415
	Starrett	Susan		X	IL14	2022	3/17/2022	8218607
Hon.	Steube	Greg		P	FL17	2022	3/3/2022	20020396
Mr.	Steury	Paul		C	IN02	2022	4/5/2022	10044756
	Stewart	Garth		C	NJ10	2022	4/3/2022	10044749
	Stoll	Matthew		C	CA22	2022	3/4/2022	10044662
Hon.	Suozzi	Thomas		P	NY03	2022	1/11/2022	20020195
Hon.	Suozzi	Thomas		P	NY03	2022	1/20/2022	20020253
Hon.	Suozzi	Thomas		P	NY03	2022	3/3/2022	20020552
	Sykes	Emilia		C	OH13	2022	4/3/2022	10044690
	Taylor	James		C	OK04	2022	4/4/2022	10044754
Hon.	Taylor	Nicholas V.		P	TX03	2022	1/14/2022	20017965
	Thanedar	Shri		X	MI13	2022	1/21/2022	30015249
	Thorne	Gregory Jonathan		C	TX22	2022	2/10/2022	10044566
Hon.	Trahan	Lori		P	MA03	2022	1/11/2022	20020161
	Ungemach	Roger		D	MN01	2022	4/4/2022	8218632
	Vega	Yesli		C	VA07	2022	3/1/2022	10044477
Hon.	Wagner	Ann		P	MO02	2022	2/14/2022	8218568
Hon.	Wasserman Schultz	Debbie		P	FL23	2022	1/25/2022	20020290
	Wheeler	Gregory		C	OH13	2022	2/19/2022	10044607
	Williams	Charise A.		X	IL01	2022	3/17/2022	8218608
	Williams	David		X	CO05	2022	1/26/2022	30015254
	Winstead	Kurt		X	TN05	2022	3/28/2022	30015301
Hon.	Wittman	Robert J.		P	VA01	2022	1/9/2022	20020184
Hon.	Wittman	Robert J.		P	VA01	2022	2/13/2022	20020446
Hon.	Wittman	Robert J.		P	VA01	2022	3/9/2022	20020586
	Zimm	Christian Gerard		C	GA05	2022	1/23/2022	10044425
	Zimmerman	Robert		X	NY03	2022	3/3/2022	30015270
